zipcode,area,city
10100,Samphanthawong,Bangkok
10100,Pom Prap Sattru Phai,Bangkok
10110,Wattana,Bangkok
10120,Bang Kholame,Bangkok
10120,Yannawa,Bangkok
10140,Rat Burana,Bangkok
10140,Thung Khru,Bangkok
10150,Bang Bon,Bangkok
10150,Bang Khun Thian,Bangkok
10160,Bang Khae,Bangkok
10160,Phasi Charoen,Bangkok
10160,Nong Khaem,Bangkok
10170,Thawi Wattana,Bangkok
10170,Taling Chan,Bangkok
10200,Phra Nakhon,Bangkok
10210,Lak Si,Bangkok
10220,Sai Mai,Bangkok
10220,Bang Khen,Bangkok
10230,Lat Phrao,Bangkok
10230,Khanna Yao,Bangkok
10240,Bang Kapi,Bangkok
10240,Bung Kum,Bangkok
10240,Saphan Sung B39,Bangkok
10250,Suang Luang,Bangkok
10250,Pra Vet,Bangkok
10260,Bang Na,Bangkok
10260,Phra Khanong,Bangkok
10300,Dusit,Bangkok
10310,Wangthong Lang,Bangkok
10320,Huai Khwang,Bangkok
10330,Pahtum Wan,Bangkok
10400,Phaya Thai,Bangkok
10400,Ding Daeng,Bangkok
10500,Bang Rak,Bangkok
10510,Min Buri,Bangkok
10510,Khlong Samwa,Bangkok
10520,Lat Krabang,Bangkok
10530,Nong Chok,Bangkok
10600,Khlong San,Bangkok
10600,Thon Buri,Bangkok
10600,Bangkok Yai,Bangkok
10700,Bang Plat,Bangkok
10700,Bangkok Noi,Bangkok
10800,Bang Su,Bangkok
10130,Phra Pradaeng,Samut Prakan
10270,Muang Samut Prakan,Samut Prakan
10290,Phra Samut Chedi,Samut Prakan
10540,Bang Saotong,Samut Prakan
10540,Bang Phli,Samut Prakan
10560,Bang Bo,Samut Prakan
11000,Muang Nonthaburi,Nonthaburi
11110,Bang Bua Thong,Nonthaburi
11120,Pak Kret,Nonthaburi
11130,Bang Kruai,Nonthaburi
11140,Bang Yai,Nonthaburi
11150,Sai Noi,Nonthaburi
12000,Muang Pathum Thani,Pathum Thani
12110,Thanyaburi,Pathum Thani
12120,Khlong Luang,Pathum Thani
12140,Lat Lum Kaeo,Pathum Thani
12150,Lam Luk Ka,Pathum Thani
12160,Sam Khok,Pathum Thani
12170,Nong Sua,Pathum Thani
14000,Muang ANG THONG,Ang Thong
14110,Wiset Chai Chan,Ang Thong
14120,Pho Thong,Ang Thong
14130,Pa Mok,Ang Thong
14140,Chaiyo,Ang Thong
14150,Sawaengha,Ang Thong
14160,Samko,Ang Thong
18000,Muang Saraburi,Saraburi
18000,Chaloem Phakiat,Saraburi
18110,Kaeng Khoi,Saraburi
18120,Phra Phutthabat,Saraburi
18130,Ban Mo,Saraburi
18140,Nong Khae,Saraburi
18150,Wihan Daeng,Saraburi
18160,Sao Hai,Saraburi
18170,Nong Saeng,Saraburi
18180,Muak Lek,Saraburi
18190,Nong Doan,Saraburi
18210,Don Phut,Saraburi
18220,Wang Muang,Saraburi
21000,Muang Rayong,Rayong
21110,Klaeng,Rayong
21110,Khao Chamao,Rayong
21120,Ban Khai,Rayong
21130,Ban Chang,Rayong
21140,Pluak Daeng,Rayong
21180,Nikhom Pattana,Rayong
21210,Wang Chan,Rayong
22000,Muang Chanthaburi,Chanthaburi
22110,Khlung,Chanthaburi
22120,Tha Mai,Chanthaburi
22130,Laem Sing,Chanthaburi
22140,Pong Nam Ron,Chanthaburi
22150,Makham,Chanthaburi
22160,Kaeng Hang Maew,Chanthaburi
22160,Na Yai Am,Chanthaburi
22180,Soi Dao,Chanthaburi
22210,Khao Kitchakut,Chanthaburi
23000,Muang Trat,Trat
23000,Ko Kud,Trat
23110,Khlong Yai,Trat
23120,Laem Ngob,Trat
23120,Ko Chang,Trat
23130,Khao Saming,Trat
23140,Bo Rai,Trat
24000,Muang Chachoengsao,Chachoengsao
24000,Khlong Kaen,Chachoengsao
24110,Bang Khla,Chachoengsao
24120,Rachsan,Chachoengsao
24120,Phanom Sarakham,Chachoengsao
24130,Bang Pakong,Chachoengsao
24140,Ban Pho,Chachoengsao
24150,Bang Nam Prieo,Chachoengsao
24160,Ta Takiab,Chachoengsao
24160,Sanam Chai Khet,Chachoengsao
24190,Paeng Yao,Chachoengsao
26000,Muang Nakhon Nayok,Nakhon Nayok
26110,Ban Na,Nakhon Nayok
26120,Ongkarak,Nakhon Nayok
26130,Pak Phli,Nakhon Nayok
27000,Khao Chakhun,Sa Kaeo
27000,Muang Sa Kaeo,Sa Kaeo
27120,Wang Nam Yen,Sa Kaeo
27120,Khok Sung,Sa Kaeo
27120,Aranyaprathet,Sa Kaeo
27160,Wattana Nakhon,Sa Kaeo
27180,Ta Phraya,Sa Kaeo
27250,Wang Sombun,Sa Kaeo
27260,Khlong Hat,Sa Kaeo
30000,Muang Nakhon Ratchasima,Nakhon Ratchasima
30110,Phimai,Nakhon Ratchasima
30120,Bua Yai,Nakhon Ratchasima
30120,Bua Lai,Nakhon Ratchasima
30130,Pak Chong,Nakhon Ratchasima
30140,Sikhiu,Nakhon Ratchasima
30150,Pak Thong Chai,Nakhon Ratchasima
30160,Non Sung,Nakhon Ratchasima
30170,Sung Noen,Nakhon Ratchasima
30180,Prathai,Nakhon Ratchasima
30190,Chok Chai,Nakhon Ratchasima
30210,Dan Khun Thot,Nakhon Ratchasima
30210,Theparak,Nakhon Ratchasima
30220,Phra Thomgkom,Nakhon Ratchasima
30220,Non Thai,Nakhon Ratchasima
30230,Cheleam Phakiat,Nakhon Ratchasima
30230,Chakkarat,Nakhon Ratchasima
30240,Huai Thalaeng,Nakhon Ratchasima
30250,Khon Buri,Nakhon Ratchasima
30260,Khong,Nakhon Ratchasima
30270,Chum Phuang,Nakhon Ratchasima
30270,Muang Yang,Nakhon Ratchasima
30270,Lum Thamenchai,Nakhon Ratchasima
30280,Kham Thale So,Nakhon Ratchasima
30290,Kham Sakae Saeng,Nakhon Ratchasima
30330,Soeng Sang,Nakhon Ratchasima
30350,Ban Luam,Nakhon Ratchasima
30360,Non Daeng,Nakhon Ratchasima
30370,Wang Nam Khyo,Nakhon Ratchasima
30410,Nong Bunnak,Nakhon Ratchasima
30430,Sida,Nakhon Ratchasima
30440,Kang Sanam Nang,Nakhon Ratchasima
34000,Muang Ubon Ratchathani,Ubon Ratchathani
34000,Don Moddang,Ubon Ratchathani
34140,Muang Samsib,Ubon Ratchathani
34150,Khuang Nai,Ubon Ratchathani
34160,Det Udom,Ubon Ratchathani
34170,Khemarat,Ubon Ratchathani
34220,Khong Chiam,Ubon Ratchathani
34230,Buntharik,Ubon Ratchathani
34270,Kut Khaopun,Ubon Ratchathani
34280,Na Chaluai,Ubon Ratchathani
35000,Muang Yasothon,Yasothon
35110,Kham Khuan Kaeo,Yasothon
35120,Thai Chaloen,Yasothon
35120,Loeng Nok Tha,Yasothon
35130,Maha Chana Chai,Yasothon
35140,Kud Chum,Yasothon
35150,Pa Tiu,Yasothon
35160,Kho Wang,Yasothon
35170,Sai Mun,Yasothon
36000,Muang Chaiyaphum,Chaiyaphum
36110,Phu Khieo,Chaiyaphum
36120,Kaset Sombun,Chaiyaphum
36130,Chaturat,Chaiyaphum
36130,Noen Sa Nga,Chaiyaphum
36130,Sub Yai,Chaiyaphum
36140,Khon Sawan,Chaiyaphum
36150,Kaeng Khro,Chaiyaphum
36160,Bamnet Narong,Chaiyaphum
36170,Ban Khwao,Chaiyaphum
36180,Khon San,Chaiyaphum
36190,Ban Thaen,Chaiyaphum
36210,Nong Bua Daeng,Chaiyaphum
36230,Thep Satthit,Chaiyaphum
36250,Nong Bua Rawe,Chaiyaphum
36260,Phakdi Chumpon,Chaiyaphum
37000,Lua Amnart,Amnat Charoen
37000,Muang Amnat Charoen,Amnat Charoen
37110,Phathumratvongsa,Amnat Charoen
37180,Phana,Amnat Charoen
37210,Chanunman,Amnat Charoen
37240,Hua Taphan,Amnat Charoen
37290,Senangkhanikhorn,Amnat Charoen
40000,Muang Khonkaen,Khon Kaen
40110,Ban Phai,Khon Kaen
40110,Ban Had,Khon Kaen
40110,Non Silla,Khon Kaen
40120,Phon,Khon Kaen
40130,Chum Phae,Khon Kaen
40140,Nam Phong,Khon Kaen
40150,Nong Nakham,Khon Kaen
40150,Phu Wiang,Khon Kaen
40160,Khok Phochai,Khon Kaen
40160,Mancha Khiri,Khon Kaen
40170,Kranuan,Khon Kaen
40170,Sum Sung,Khon Kaen
40180,Chonnabot,Khon Kaen
40190,Nong Song Hong,Khon Kaen
40210,Nong Rua,Khon Kaen
40220,Si Chomphu,Khon Kaen
40230,Waeng Noi,Khon Kaen
40250,Ubolratana,Khon Kaen
40270,Ban Fang,Khon Kaen
40280,Khao Suan Kwang,Khon Kaen
40320,Phra Yun,Khon Kaen
40330,Waeng Yai,Khon Kaen
40340,Puai Noi,Khon Kaen
40350,Phu Pha Man,Khon Kaen
41000,Muang Udon Thani,Udon Thani
41110,Kumphawapi,Udon Thani
41110,Phrachuk Siliakram,Udon Thani
41130,Nong Han,Udon Thani
41130,Pibun Rak,Udon Thani
41130,Ku Khaew,Udon Thani
41150,Phen,Udon Thani
41190,Ban Phu,Udon Thani
41190,Ban Dung,Udon Thani
41210,Nam Som,Udon Thani
41220,Nong Wua So,Udon Thani
41230,Si That,Udon Thani
41240,Non Sa-at,Udon Thani
41250,Kut Chab,Udon Thani
41260,Sang Khom,Udon Thani
41290,Chaiwan,Udon Thani
41310,Thung Fon,Udon Thani
41340,Nong Saeng,Udon Thani
41380,Wang Sam Mo,Udon Thani
41380,Na Yung,Udon Thani
41220,Erawan,Loei
42000,Muang Loei,Loei
42110,Chiang Khan,Loei
42120,Dan Sai,Loei
42130,Wang Saphung,Loei
42140,Tha Li,Loei
42150,Pak Chom,Loei
42160,Phu Rua,Loei
42170,Na Haeo,Loei
42180,Phu Kradung,Loei
42210,Na Duang,Loei
42230,Phu Luang,Loei
42240,Pha Khao,Loei
43000,Muang Nong Khai,Nong Khai
43100,Sra Khai,Nong Khai
43110,Tha Bo,Nong Khai
43120,Rattana Wapi,Nong Khai
43120,Phon Phisai,Nong Khai
43120,Fao Rai,Nong Khai
43130,Po Tak,Nong Khai
43130,Si Chiang Mai,Nong Khai
43140,Bung Kan,Nong Khai
43140,Bung Kla,Nong Khai
43150,Seka,Nong Khai
43160,Sang Khom,Nong Khai
43170,So Phisai,Nong Khai
43180,Phon Charoen,Nong Khai
43190,Pak Khat,Nong Khai
43210,Si Wilai,Nong Khai
43220,Bung Khong Long,Nong Khai
44000,Muang Maha Sarakham,Maha Sarakham
44110,Phayakkhaphum Phisai,Maha Sarakham
44120,Wapi Pathum,Maha Sarakham
44130,Kud Rang,Maha Sarakham
44130,Borabu,Maha Sarakham
44140,Kosum Phisai,Maha Sarakham
44150,Kantharawichai,Maha Sarakham
44160,Chuan Chum,Maha Sarakham
44160,Chiang Yun,Maha Sarakham
44170,Na Chuak,Maha Sarakham
44180,Na Dun,Maha Sarakham
44190,Kae Dam,Maha Sarakham
44210,Yang Si Surat,Maha Sarakham
45000,Sri Somdet,Roi Et
45000,Muang Roi Et,Roi Et
45000,Chiang Khaw,Roi Et
45000,Chang Han,Roi Et
45110,Phon Thong,Roi Et
45120,Salaphum,Roi Et
45130,Suwannaphum,Roi Et
45140,Nong Hi,Roi Et
45140,Phaanom Phrai,Roi Et
45150,Kaset Wisai,Roi Et
45160,At Samat,Roi Et
45170,Tung Khaoluang,Roi Et
45170,Thawatchaburi,Roi Et
45180,Chaturaphak Phiman,Roi Et
45190,Pathum Rat,Roi Et
45210,Nong Phok,Roi Et
45220,Muang Suang,Roi Et
45230,Pho Chai,Roi Et
45240,Phon Sai,Roi Et
45250,Moeiyawadi,Roi Et
46000,Donchan,Kalasin
46000,Muang Kalasin,Kalasin
46110,Kuchinarai,Kalasin
46120,Yang Talat,Kalasin
46130,Kamalasai,Kalasin
46130,Kong Chai,Kalasin
46140,Sahatsakhan,Kalasin
46150,Somdet,Kalasin
46160,Khao Wong,Kalasin
46160,Na Ku,Kalasin
46170,Huai Mek,Kalasin
46180,Kham Muang,Kalasin
46190,Tha Khantho,Kalasin
46210,Rong Kham,Kalasin
46220,Nong Kung Si,Kalasin
46230,Na Mon,Kalasin
46240,Huai Phung,Kalasin
47000,Muang Sakon Nakhon,Sakon Nakhon
47110,Sawang Daen Din,Sakon Nakhon
47120,Wanon Niwat,Sakon Nakhon
47130,Phanna Nikhom,Sakon Nakhon
47140,Ban Muang,Sakon Nakhon
47150,Waritchaphum,Sakon Nakhon
47160,Phang Khon,Sakon Nakhon
47170,Akat Amnuai,Sakon Nakhon
47180,Phu Phan,Sakon Nakhon
47180,Kut Bak,Sakon Nakhon
47190,Song Dao,Sakon Nakhon
47210,Kusuman,Sakon Nakhon
47230,Pon Nakaew,Sakon Nakhon
47250,Kham Ta Kla,Sakon Nakhon
47260,Tao Ngoi,Sakon Nakhon
47270,Nikhom Nam Un,Sakon Nakhon
47280,Khok Si Supan,Sakon Nakhon
47290,Charoensin,Sakon Nakhon
48000,Muang Nakhon Phanom,Nakhon Phanom
48110,That Phanom,Nakhon Phanom
48120,Tha Uthen,Nakhon Phanom
48120,Tha Songkhram,Nakhon Phanom
48130,Na Kae,Nakhon Phanom
48130,Wang Yang,Nakhon Phanom
48140,Ban Phaeng,Nakhon Phanom
48140,Na Thom,Nakhon Phanom
48150,Si Songkhram,Nakhon Phanom
48160,Pla Pak,Nakhon Phanom
48170,Renu Nakhon,Nakhon Phanom
48180,Na Wa,Nakhon Phanom
48190,Phon Sawan,Nakhon Phanom
49000,Muang Mukdahan,Mukdahan
49110,Khamcha-I,Mukdahan
49120,Don Tan,Mukdahan
49130,Nikhom Kham Soi,Mukdahan
49140,Don Luang,Mukdahan
49150,Wan Yai,Mukdahan
49160,Nong Sung,Mukdahan
50000,Muang Chiang Mai,Chiang Mai
50110,Fang,Chiang Mai
50120,San Pa Tong,Chiang Mai
50130,San Kamphaeng,Chiang Mai
50130,Mae On,Chiang Mai
50140,Saraphi,Chiang Mai
50150,Mae Taeng,Chiang Mai
50160,Doi Lor,Chiang Mai
50160,Chom Thong,Chiang Mai
50170,Chiang Dao,Chiang Mai
50180,Mae Rim,Chiang Mai
50190,Phrao,Chiang Mai
50210,San Sai,Chiang Mai
50220,Doi Saket,Chiang Mai
50230,Hang Dong,Chiang Mai
50240,Hot,Chiang Mai
50250,Samoeng,Chiang Mai
50260,Doi Tao,Chiang Mai
50270,Mae Chaem,Chiang Mai
50280,Mae Ai,Chiang Mai
50310,Omkoi,Chiang Mai
50320,Chai Prakarn,Chiang Mai
50350,Weang Hang,Chiang Mai
50360,Mae Wang,Chiang Mai
51000,Muang Lamphun,Lamphun
51110,Li,Lamphun
51120,Pa Sang,Lamphun
51120,Wiang Nonglong,Lamphun
51130,Ban Hong,Lamphun
51140,Mae Tha,Lamphun
51160,Thung Hua Chang,Lamphun
51180,Ban Thi,Lamphun
52000,Muang Lampang,Lampang
52110,Ngao,Lampang
52120,Chae Hom,Lampang
52130,Ko Kha,Lampang
52140,Wang Nua,Lampang
52150,Mae Tha,Lampang
52160,Thoen,Lampang
52170,Sop Prap,Lampang
52180,Mae Phrik,Lampang
52190,Hang Chat,Lampang
52210,Soem Ngam,Lampang
52220,Mae Mo,Lampang
52240,Muang Pan,Lampang
53000,Muang Uttaradit,Uttaradit
53110,Nam Pat,Uttaradit
53120,Phichai,Uttaradit
53130,Laplae,Uttaradit
53140,Tron,Uttaradit
53150,Tha Pla,Uttaradit
53160,Fak Tha,Uttaradit
53180,Ban Khok,Uttaradit
53230,Tong Saen Khan,Uttaradit
54000,Muang Phrae,Phrae
54120,Song,Phrae
54130,Sung Men,Phrae
54140,Rong Kwang,Phrae
54140,Den Chai,Phrae
54150,Long,Phrae
54160,Wang Chin,Phrae
54170,Nong Muangkhai,Phrae
55000,Santisuk,Nan
55000,Muang Nan,Nan
55000,Phu Piang,Nan
55110,Wiang Sa,Nan
55120,Pua,Nan
55130,Chaloem Phrakiat,Nan
55130,Thung Chang,Nan
55140,Tha Wang Pha,Nan
55150,Na Noi,Nan
55160,Chiang Klang,Nan
55160,Song Khaew,Nan
55170,Mae Charim,Nan
55180,Na Mun,Nan
55190,Ban Luang,Nan
55220,Bo Klua,Nan
56000,Pu Khamyaw,Phayao
56000,Muang Phayao,Phayao
56110,Chiang Kham,Phayao
56110,Pu Sang,Phayao
56120,Dok Kham Tai,Phayao
56130,Mae Chai,Phayao
56140,Pong,Phayao
56150,Chun,Phayao
56160,Chiacg Muan,Phayao
57000,Muang Chiang Rai,Chiang Rai
57110,Mae Chan,Chiang Rai
